Table: Joule-Thomson coefficient [G]
Temperature {K} 	Pressure {kPa} 	Joule-Thomson coefficient {K/kPa} 	Uncertainty {K/kPa} 
248	1400	0.01862	0.00056
249	200	0.01695	0.00095
249	400	0.01724	0.00086
249	600	0.01752	0.00079
249	800	0.01777	0.00072
249	1000	0.01800	0.00066
249	1200	0.01821	0.00060
249	1400	0.01839	0.00055
250	200	0.01677	0.00092
250	400	0.01705	0.00084
250	600	0.01732	0.00077
250	800	0.01756	0.00071
250	1000	0.01778	0.00065
250	1200	0.01799	0.00059
250	1400	0.01817	0.00054
250	1600	0.01833	0.00048
251	200	0.01660	0.00089
251	400	0.01687	0.00082
251	600	0.01712	0.00075
251	800	0.01736	0.00069
251	1000	0.01758	0.00063
251	1200	0.01777	0.00058
251	1400	0.01795	0.00053
251	1600	0.01811	0.00048
252	200	0.01643	0.00087
252	400	0.01669	0.00080
252	600	0.01693	0.00074
252	800	0.01716	0.00068
252	1000	0.01737	0.00062
252	1200	0.01756	0.00057
252	1400	0.01774	0.00052
252	1600	0.01790	0.00047
253	200	0.01626	0.00085
253	400	0.01651	0.00078
253	600	0.01675	0.00072
253	800	0.01697	0.00066
253	1000	0.01717	0.00061
253	1200	0.01736	0.00056
253	1400	0.01753	0.00051
253	1600	0.01769	0.00046
254	200	0.01610	0.00082
254	400	0.01634	0.00076
254	600	0.01656	0.00070
254	800	0.01678	0.00065
254	1000	0.01697	0.00060
254	1200	0.01715	0.00055
254	1400	0.01732	0.00050
254	1600	0.01748	0.00045
254	1800	0.01762	0.00041
255	200	0.01594	0.00080
255	400	0.01617	0.00074
255	600	0.01639	0.00068
255	800	0.01659	0.00063
255	1000	0.01678	0.00058
255	1200	0.01696	0.00054
255	1400	0.01712	0.00049
255	1600	0.01727	0.00045
255	1800	0.01742	0.00040
256	200	0.01578	0.00078
256	400	0.01600	0.00072
256	600	0.01621	0.00067
256	800	0.01641	0.00062
256	1000	0.01659	0.00057
256	1200	0.01676	0.00053
256	1400	0.01692	0.00048
256	1600	0.01707	0.00044
256	1800	0.01721	0.00040
257	200	0.01563	0.00076
257	400	0.01584	0.00070
257	600	0.01604	0.00065
257	800	0.01623	0.00060
257	1000	0.01641	0.00056
257	1200	0.01657	0.00052
257	1400	0.01673	0.00047
257	1600	0.01688	0.00043
257	1800	0.01701	0.00039
257	2000	0.01715	0.00036
258	200	0.01547	0.00074
258	400	0.01568	0.00069
258	600	0.01587	0.00064
258	800	0.01605	0.00059
258	1000	0.01623	0.00055
258	1200	0.01639	0.00051
258	1400	0.01654	0.00046
258	1600	0.01668	0.00043
258	1800	0.01682	0.00039
258	2000	0.01695	0.00036
259	200	0.01532	0.00072
259	400	0.01552	0.00067
259	600	0.01570	0.00062
259	800	0.01588	0.00058
259	1000	0.01605	0.00054
259	1200	0.01621	0.00050
259	1400	0.01635	0.00046
259	1600	0.01649	0.00042
259	1800	0.01663	0.00038
259	2000	0.01675	0.00035
260	200	0.01518	0.00070
260	400	0.01536	0.00066
260	600	0.01554	0.00061
260	800	0.01571	0.00057
260	1000	0.01587	0.00053
260	1200	0.01603	0.00049
260	1400	0.01617	0.00045
260	1600	0.01631	0.00041
260	1800	0.01644	0.00038
260	2000	0.01656	0.00035
261	200	0.01503	0.00069
261	400	0.01521	0.00064
261	600	0.01538	0.00060
261	800	0.01555	0.00056
261	1000	0.01570	0.00052
261	1200	0.01585	0.00048
261	1400	0.01599	0.00044
261	1600	0.01613	0.00041
261	1800	0.01625	0.00037
261	2000	0.01637	0.00034
261	2200	0.01649	0.00032
262	200	0.01489	0.00067
262	400	0.01506	0.00062
262	600	0.01523	0.00058
262	800	0.01539	0.00054
262	1000	0.01554	0.00051
262	1200	0.01568	0.00047
262	1400	0.01582	0.00043
262	1600	0.01595	0.00040
262	1800	0.01607	0.00037
262	2000	0.01619	0.00034
262	2200	0.01631	0.00032
263	200	0.01475	0.00065
263	400	0.01491	0.00061
263	600	0.01507	0.00057
263	800	0.01523	0.00053
263	1000	0.01537	0.00050
263	1200	0.01551	0.00046
263	1400	0.01565	0.00043
263	1600	0.01577	0.00039
263	1800	0.01589	0.00036
263	2000	0.01601	0.00034
263	2200	0.01612	0.00031
264	200	0.01461	0.00064
264	400	0.01477	0.00060
264	600	0.01492	0.00056
264	800	0.01507	0.00052
264	1000	0.01521	0.00049
264	1200	0.01535	0.00045
264	1400	0.01548	0.00042
264	1600	0.01560	0.00039
264	1800	0.01572	0.00036
264	2000	0.01583	0.00033
264	2200	0.01594	0.00031
264	2400	0.01605	0.00030
265	200	0.01447	0.00062
265	400	0.01463	0.00058
265	600	0.01477	0.00055
265	800	0.01492	0.00051
265	1000	0.01505	0.00048
265	1200	0.01519	0.00045
265	1400	0.01531	0.00041
265	1600	0.01543	0.00038
265	1800	0.01555	0.00035
265	2000	0.01566	0.00033
265	2200	0.01577	0.00031
265	2400	0.01588	0.00029
266	200	0.01434	0.00061
266	400	0.01449	0.00057
266	600	0.01463	0.00053
266	800	0.01477	0.00050
266	1000	0.01490	0.00047
266	1200	0.01503	0.00044
266	1400	0.01515	0.00041
266	1600	0.01527	0.00038
266	1800	0.01538	0.00035
266	2000	0.01549	0.00032
266	2200	0.01559	0.00030
266	2400	0.01570	0.00029
267	200	0.01421	0.00059
267	400	0.01435	0.00056
267	600	0.01449	0.00052
267	800	0.01462	0.00049
267	1000	0.01475	0.00046
267	1200	0.01487	0.00043
267	1400	0.01499	0.00040
267	1600	0.01510	0.00037
267	1800	0.01521	0.00034
267	2000	0.01532	0.00032
267	2200	0.01542	0.00030
267	2400	0.01552	0.00029
267	2600	0.01563	0.00029
268	200	0.01408	0.00058
268	400	0.01421	0.00054
268	600	0.01435	0.00051
268	800	0.01447	0.00048
268	1000	0.01460	0.00045
268	1200	0.01472	0.00042
268	1400	0.01483	0.00039
268	1600	0.01494	0.00037
268	1800	0.01505	0.00034
268	2000	0.01515	0.00032
268	2200	0.01525	0.00030
268	2400	0.01535	0.00028
268	2600	0.01545	0.00028
269	200	0.01395	0.00056
269	400	0.01408	0.00053
269	600	0.01421	0.00050
269	800	0.01433	0.00047
269	1000	0.01445	0.00044
269	1200	0.01457	0.00042
269	1400	0.01468	0.00039
269	1600	0.01479	0.00036
269	1800	0.01489	0.00034
269	2000	0.01499	0.00031
269	2200	0.01509	0.00029
269	2400	0.01519	0.00028
269	2600	0.01528	0.00028
269	2800	0.01538	0.00029
270	200	0.01382	0.00055
270	400	0.01395	0.00052
270	600	0.01407	0.00049
270	800	0.01419	0.00046
270	1000	0.01431	0.00044
270	1200	0.01442	0.00041
270	1400	0.01453	0.00038
270	1600	0.01463	0.00036
270	1800	0.01473	0.00033
270	2000	0.01483	0.00031
270	2200	0.01493	0.00029
270	2400	0.01502	0.00028
270	2600	0.01512	0.00027
270	2800	0.01521	0.00028
271	200	0.01370	0.00054
271	400	0.01382	0.00051
271	600	0.01394	0.00048
271	800	0.01405	0.00046
271	1000	0.01417	0.00043
271	1200	0.01427	0.00040
271	1400	0.01438	0.00038
271	1600	0.01448	0.00035
271	1800	0.01458	0.00033
271	2000	0.01468	0.00031
271	2200	0.01477	0.00029
271	2400	0.01486	0.00027
271	2600	0.01495	0.00027
271	2800	0.01505	0.00027
272	200	0.01358	0.00053
272	400	0.01369	0.00050
272	600	0.01381	0.00047
272	800	0.01392	0.00045
272	1000	0.01403	0.00042
272	1200	0.01413	0.00040
272	1400	0.01423	0.00037
272	1600	0.01433	0.00035
272	1800	0.01443	0.00032
272	2000	0.01452	0.00030
272	2200	0.01461	0.00028
272	2400	0.01470	0.00027
272	2600	0.01479	0.00027
272	2800	0.01488	0.00027
272	3000	0.01497	0.00029
273	200	0.01346	0.00052
273	400	0.01357	0.00049
273	600	0.01368	0.00046
273	800	0.01379	0.00044
273	1000	0.01389	0.00041
273	1200	0.01399	0.00039
273	1400	0.01409	0.00037
273	1600	0.01419	0.00034
273	1800	0.01428	0.00032
273	2000	0.01437	0.00030
273	2200	0.01446	0.00028
273	2400	0.01455	0.00027
273	2600	0.01463	0.00026
273	2800	0.01472	0.00027
273	3000	0.01481	0.00028
274	200	0.01334	0.00051
274	400	0.01345	0.00048
274	600	0.01355	0.00046
274	800	0.01366	0.00043
274	1000	0.01376	0.00041
274	1200	0.01385	0.00038
274	1400	0.01395	0.00036
274	1600	0.01404	0.00034
274	1800	0.01413	0.00032
274	2000	0.01422	0.00030
274	2200	0.01431	0.00028
274	2400	0.01439	0.00027
274	2600	0.01448	0.00026
274	2800	0.01456	0.00026
274	3000	0.01465	0.00027
275	200	0.01322	0.00050
275	400	0.01332	0.00047
275	600	0.01343	0.00045
275	800	0.01353	0.00042
275	1000	0.01362	0.00040
275	1200	0.01372	0.00038
275	1400	0.01381	0.00036
275	1600	0.01390	0.00033
275	1800	0.01399	0.00031
275	2000	0.01408	0.00029
275	2200	0.01416	0.00028
275	2400	0.01424	0.00026
275	2600	0.01432	0.00026
275	2800	0.01440	0.00026
275	3000	0.01449	0.00027
275	3200	0.01457	0.00029
276	200	0.01310	0.00049
276	400	0.01320	0.00046
276	600	0.01330	0.00044
276	800	0.01340	0.00042
276	1000	0.01349	0.00039
276	1200	0.01359	0.00037
276	1400	0.01368	0.00035
276	1600	0.01376	0.00033
276	1800	0.01385	0.00031
276	2000	0.01393	0.00029
276	2200	0.01401	0.00027
276	2400	0.01409	0.00026
276	2600	0.01417	0.00025
276	2800	0.01425	0.00025
276	3000	0.01433	0.00026
276	3200	0.01441	0.00028
277	200	0.01299	0.00048
277	400	0.01309	0.00045
277	600	0.01318	0.00043
277	800	0.01328	0.00041
277	1000	0.01337	0.00039
277	1200	0.01346	0.00037
277	1400	0.01354	0.00035
277	1600	0.01363	0.00032
277	1800	0.01371	0.00031
277	2000	0.01379	0.00029
277	2200	0.01387	0.00027
277	2400	0.01395	0.00026
277	2600	0.01403	0.00025
277	2800	0.01410	0.00025
277	3000	0.01418	0.00026
277	3200	0.01425	0.00027
277	3400	0.01433	0.00030
278	200	0.01288	0.00047
278	400	0.01297	0.00045
278	600	0.01306	0.00042
278	800	0.01315	0.00040
278	1000	0.01324	0.00038
278	1200	0.01333	0.00036
278	1400	0.01341	0.00034
278	1600	0.01350	0.00032
278	1800	0.01358	0.00030
278	2000	0.01365	0.00028
278	2200	0.01373	0.00027
278	2400	0.01381	0.00026
278	2600	0.01388	0.00025
278	2800	0.01395	0.00025
278	3000	0.01403	0.00025
278	3200	0.01410	0.00027
278	3400	0.01418	0.00029
279	200	0.01277	0.00046
279	400	0.01286	0.00044
279	600	0.01295	0.00042
279	800	0.01303	0.00040
279	1000	0.01312	0.00038
279	1200	0.01320	0.00036
279	1400	0.01328	0.00034
279	1600	0.01336	0.00032
279	1800	0.01344	0.00030
279	2000	0.01352	0.00028
279	2200	0.01359	0.00027
279	2400	0.01367	0.00025
279	2600	0.01374	0.00025
279	2800	0.01381	0.00024
279	3000	0.01388	0.00025
279	3200	0.01395	0.00026
279	3400	0.01402	0.00028
279	3600	0.01410	0.00031
280	200	0.01266	0.00045
280	400	0.01275	0.00043
280	600	0.01283	0.00041
280	800	0.01291	0.00039
280	1000	0.01300	0.00037
280	1200	0.01308	0.00035
280	1400	0.01316	0.00033
280	1600	0.01323	0.00031
280	1800	0.01331	0.00030
280	2000	0.01338	0.00028
280	2200	0.01346	0.00026
280	2400	0.01353	0.00025
280	2600	0.01360	0.00024
280	2800	0.01367	0.00024
280	3000	0.01373	0.00024
280	3200	0.01380	0.00026
280	3400	0.01387	0.00028
280	3600	0.01394	0.00030
281	200	0.01255	0.00044
281	400	0.01263	0.00042
281	600	0.01272	0.00040
281	800	0.01280	0.00038
281	1000	0.01288	0.00037
281	1200	0.01296	0.00035
281	1400	0.01303	0.00033
281	1600	0.01311	0.00031
281	1800	0.01318	0.00029
281	2000	0.01325	0.00028
281	2200	0.01332	0.00026
281	2400	0.01339	0.00025
281	2600	0.01346	0.00024
281	2800	0.01353	0.00024
281	3000	0.01359	0.00024
281	3200	0.01366	0.00025
281	3400	0.01372	0.00027
281	3600	0.01379	0.00029
282	200	0.01244	0.00043
282	400	0.01253	0.00042
282	600	0.01261	0.00040
282	800	0.01268	0.00038
282	1000	0.01276	0.00036
282	1200	0.01284	0.00034
282	1400	0.01291	0.00032
282	1600	0.01298	0.00031
282	1800	0.01305	0.00029
282	2000	0.01312	0.00027
282	2200	0.01319	0.00026
282	2400	0.01326	0.00025
282	2600	0.01332	0.00024
282	2800	0.01339	0.00023
282	3000	0.01345	0.00024
282	3200	0.01352	0.00025
282	3400	0.01358	0.00026
282	3600	0.01364	0.00029
282	3800	0.01370	0.00032
283	200	0.01234	0.00043
283	400	0.01242	0.00041
283	600	0.01249	0.00039
283	800	0.01257	0.00037
283	1000	0.01264	0.00036
283	1200	0.01272	0.00034
283	1400	0.01279	0.00032
283	1600	0.01286	0.00030
283	1800	0.01293	0.00029
283	2000	0.01300	0.00027
283	2200	0.01306	0.00026
283	2400	0.01313	0.00024
283	2600	0.01319	0.00024
283	2800	0.01325	0.00023
283	3000	0.01331	0.00023
283	3200	0.01338	0.00024
283	3400	0.01344	0.00026
283	3600	0.01350	0.00028
283	3800	0.01356	0.00031
284	200	0.01224	0.00042
284	400	0.01231	0.00040
284	600	0.01239	0.00039
284	800	0.01246	0.00037
284	1000	0.01253	0.00035
284	1200	0.01260	0.00033
284	1400	0.01267	0.00032
284	1600	0.01274	0.00030
284	1800	0.01281	0.00028
284	2000	0.01287	0.00027
284	2200	0.01294	0.00025
284	2400	0.01300	0.00024
284	2600	0.01306	0.00023
284	2800	0.01312	0.00023
284	3000	0.01318	0.00023
284	3200	0.01324	0.00024
284	3400	0.01330	0.00025
284	3600	0.01335	0.00027
284	3800	0.01341	0.00030
284	4000	0.01347	0.00033
285	200	0.01213	0.00041
285	400	0.01221	0.00040
285	600	0.01228	0.00038
285	800	0.01235	0.00036
285	1000	0.01242	0.00035
285	1200	0.01249	0.00033
285	1400	0.01255	0.00031
285	1600	0.01262	0.00030
285	1800	0.01269	0.00028
285	2000	0.01275	0.00027
285	2200	0.01281	0.00025
285	2400	0.01287	0.00024
285	2600	0.01293	0.00023
285	2800	0.01299	0.00023
285	3000	0.01305	0.00023
285	3200	0.01310	0.00023
285	3400	0.01316	0.00024
285	3600	0.01321	0.00026
285	3800	0.01327	0.00029
285	4000	0.01332	0.00032
286	200	0.01203	0.00041
286	400	0.01210	0.00039
286	600	0.01217	0.00037
286	800	0.01224	0.00036
286	1000	0.01231	0.00034
286	1200	0.01237	0.00032
286	1400	0.01244	0.00031
286	1600	0.01250	0.00029
286	1800	0.01257	0.00028
286	2000	0.01263	0.00026
286	2200	0.01269	0.00025
286	2400	0.01275	0.00024
286	2600	0.01280	0.00023
286	2800	0.01286	0.00022
286	3000	0.01292	0.00022
286	3200	0.01297	0.00023
286	3400	0.01302	0.00024
286	3600	0.01307	0.00026
286	3800	0.01313	0.00028
286	4000	0.01317	0.00031
286	4200	0.01322	0.00034
287	200	0.01193	0.00040
287	400	0.01200	0.00039
287	600	0.01207	0.00037
287	800	0.01214	0.00035
287	1000	0.01220	0.00034
287	1200	0.01226	0.00032
287	1400	0.01233	0.00030
287	1600	0.01239	0.00029
287	1800	0.01245	0.00027
287	2000	0.01251	0.00026
287	2200	0.01257	0.00025
287	2400	0.01262	0.00024
287	2600	0.01268	0.00023
287	2800	0.01273	0.00022
287	3000	0.01279	0.00022
287	3200	0.01284	0.00023
287	3400	0.01289	0.00024
287	3600	0.01294	0.00025
287	3800	0.01299	0.00027
287	4000	0.01303	0.00030
287	4200	0.01308	0.00033
288	200	0.01184	0.00040
288	400	0.01190	0.00038
288	600	0.01197	0.00036
288	800	0.01203	0.00035
288	1000	0.01209	0.00033
288	1200	0.01215	0.00032
288	1400	0.01222	0.00030
288	1600	0.01228	0.00029
288	1800	0.01233	0.00027
288	2000	0.01239	0.00026
288	2200	0.01245	0.00025
288	2400	0.01250	0.00023
288	2600	0.01256	0.00023
288	2800	0.01261	0.00022
288	3000	0.01266	0.00022
288	3200	0.01271	0.00022
288	3400	0.01276	0.00023
288	3600	0.01281	0.00024
288	3800	0.01285	0.00026
288	4000	0.01290	0.00029
288	4200	0.01294	0.00032
288	4400	0.01298	0.00035
289	200	0.01174	0.00039
289	400	0.01180	0.00037
289	600	0.01187	0.00036
289	800	0.01193	0.00034
289	1000	0.01199	0.00033
289	1200	0.01205	0.00031
289	1400	0.01211	0.00030
289	1600	0.01216	0.00028
289	1800	0.01222	0.00027
289	2000	0.01228	0.00026
289	2200	0.01233	0.00024
289	2400	0.01238	0.00023
289	2600	0.01244	0.00022
289	2800	0.01249	0.00022
289	3000	0.01254	0.00022
289	3200	0.01259	0.00022
289	3400	0.01263	0.00023
289	3600	0.01268	0.00024
289	3800	0.01272	0.00026
289	4000	0.01276	0.00028
289	4200	0.01280	0.00031
289	4400	0.01284	0.00034
290	200	0.01164	0.00039
290	400	0.01171	0.00037
290	600	0.01177	0.00036
290	800	0.01183	0.00034
290	1000	0.01188	0.00032
290	1200	0.01194	0.00031
290	1400	0.01200	0.00030
290	1600	0.01205	0.00028
290	1800	0.01211	0.00027
290	2000	0.01216	0.00025
290	2200	0.01222	0.00024
290	2400	0.01227	0.00023
290	2600	0.01232	0.00022
290	2800	0.01237	0.00022
290	3000	0.01242	0.00021
290	3200	0.01246	0.00022
290	3400	0.01251	0.00022
290	3600	0.01255	0.00023
290	3800	0.01259	0.00025
290	4000	0.01263	0.00027
290	4200	0.01267	0.00030
290	4400	0.01270	0.00032
290	4600	0.01272	0.00035
291	200	0.01155	0.00038
291	400	0.01161	0.00037
291	600	0.01167	0.00035
291	800	0.01172	0.00034
291	1000	0.01178	0.00032
291	1200	0.01184	0.00031
291	1400	0.01189	0.00029
291	1600	0.01195	0.00028
291	1800	0.01200	0.00026
291	2000	0.01205	0.00025
291	2200	0.01210	0.00024
291	2400	0.01215	0.00023
291	2600	0.01220	0.00022
291	2800	0.01225	0.00021
291	3000	0.01230	0.00021
291	3200	0.01234	0.00021
291	3400	0.01238	0.00022
291	3600	0.01243	0.00023
291	3800	0.01246	0.00024
291	4000	0.01250	0.00026
291	4200	0.01253	0.00029
291	4400	0.01256	0.00031
291	4600	0.01259	0.00034
291	4800	0.01260	0.00037
292	200	0.01146	0.00038
292	400	0.01151	0.00036
292	600	0.01157	0.00035
292	800	0.01163	0.00033
292	1000	0.01168	0.00032
292	1200	0.01173	0.00030
292	1400	0.01179	0.00029
292	1600	0.01184	0.00028
292	1800	0.01189	0.00026
292	2000	0.01194	0.00025
292	2200	0.01199	0.00024
292	2400	0.01204	0.00023
292	2600	0.01209	0.00022
292	2800	0.01213	0.00021
292	3000	0.01218	0.00021
292	3200	0.01222	0.00021
292	3400	0.01226	0.00022
292	3600	0.01230	0.00023
292	3800	0.01234	0.00024
292	4000	0.01237	0.00026
292	4200	0.01241	0.00028
292	4400	0.01243	0.00030
292	4600	0.01245	0.00033
292	4800	0.01247	0.00036
293	200	0.01137	0.00037
293	400	0.01142	0.00036
293	600	0.01147	0.00034
293	800	0.01153	0.00033
293	1000	0.01158	0.00031
293	1200	0.01163	0.00030
293	1400	0.01168	0.00029
293	1600	0.01174	0.00027
293	1800	0.01179	0.00026
293	2000	0.01183	0.00025
293	2200	0.01188	0.00024
293	2400	0.01193	0.00023
293	2600	0.01197	0.00022
293	2800	0.01202	0.00021
293	3000	0.01206	0.00021
293	3200	0.01210	0.00021
293	3400	0.01214	0.00021
293	3600	0.01218	0.00022
293	3800	0.01222	0.00023
293	4000	0.01225	0.00025
293	4200	0.01228	0.00027
293	4400	0.01230	0.00029
293	4600	0.01232	0.00032
293	4800	0.01234	0.00034
293	5000	0.01233	0.00037
294	200	0.01127	0.00037
294	400	0.01133	0.00035
294	600	0.01138	0.00034
294	800	0.01143	0.00032
294	1000	0.01148	0.00031
294	1200	0.01153	0.00030
294	1400	0.01158	0.00028
294	1600	0.01163	0.00027
294	1800	0.01168	0.00026
294	2000	0.01173	0.00025
294	2200	0.01177	0.00023
294	2400	0.01182	0.00022
294	2600	0.01186	0.00022
294	2800	0.01191	0.00021
294	3000	0.01195	0.00021
294	3200	0.01199	0.00021
294	3400	0.01203	0.00021
294	3600	0.01206	0.00022
294	3800	0.01210	0.00023
294	4000	0.01213	0.00024
294	4200	0.01216	0.00026
294	4400	0.01218	0.00028
294	4600	0.01220	0.00031
294	4800	0.01221	0.00033
294	5000	0.01220	0.00036
295	200	0.01119	0.00036
295	400	0.01124	0.00035
295	600	0.01129	0.00034
295	800	0.01134	0.00032
295	1000	0.01139	0.00031
295	1200	0.01144	0.00029
295	1400	0.01148	0.00028
295	1600	0.01153	0.00027
295	1800	0.01158	0.00026
295	2000	0.01162	0.00024
295	2200	0.01167	0.00023
295	2400	0.01171	0.00022
295	2600	0.01175	0.00021
295	2800	0.01179	0.00021
295	3000	0.01183	0.00020
295	3200	0.01187	0.00020
295	3400	0.01191	0.00021
295	3600	0.01194	0.00021
295	3800	0.01198	0.00022
295	4000	0.01201	0.00024
295	4200	0.01203	0.00026
295	4400	0.01206	0.00028
295	4600	0.01207	0.00030
295	4800	0.01208	0.00032
295	5000	0.01208	0.00034
295	5200	0.01206	0.00036
296	200	0.01110	0.00036
296	400	0.01115	0.00035
296	600	0.01120	0.00033
296	800	0.01124	0.00032
296	1000	0.01129	0.00031
296	1200	0.01134	0.00029
296	1400	0.01138	0.00028
296	1600	0.01143	0.00027
296	1800	0.01148	0.00025
296	2000	0.01152	0.00024
296	2200	0.01156	0.00023
296	2400	0.01160	0.00022
296	2600	0.01165	0.00021
296	2800	0.01169	0.00021
296	3000	0.01172	0.00020
296	3200	0.01176	0.00020
296	3400	0.01180	0.00020
296	3600	0.01183	0.00021
296	3800	0.01186	0.00022
296	4000	0.01189	0.00023
296	4200	0.01191	0.00025
296	4400	0.01193	0.00027
296	4600	0.01195	0.00029
296	4800	0.01196	0.00031
296	5000	0.01196	0.00033
296	5200	0.01194	0.00035
297	200	0.01101	0.00035
297	400	0.01106	0.00034
297	600	0.01110	0.00033
297	800	0.01115	0.00032
297	1000	0.01120	0.00030
297	1200	0.01124	0.00029
297	1400	0.01129	0.00028
297	1600	0.01133	0.00026
297	1800	0.01138	0.00025
297	2000	0.01142	0.00024
297	2200	0.01146	0.00023
297	2400	0.01150	0.00022
297	2600	0.01154	0.00021
297	2800	0.01158	0.00020
297	3000	0.01162	0.00020
297	3200	0.01165	0.00020
297	3400	0.01168	0.00020
297	3600	0.01172	0.00021
297	3800	0.01175	0.00022
297	4000	0.01177	0.00023
297	4200	0.01180	0.00024
297	4400	0.01182	0.00026
297	4600	0.01183	0.00028
297	4800	0.01184	0.00030
297	5000	0.01183	0.00032
297	5200	0.01182	0.00034
297	5400	0.01177	0.00036
298	200	0.01092	0.00035
298	400	0.01097	0.00034
298	600	0.01102	0.00033
298	800	0.01106	0.00031
298	1000	0.01110	0.00030
298	1200	0.01115	0.00029
298	1400	0.01119	0.00027
298	1600	0.01123	0.00026
298	1800	0.01128	0.00025
298	2000	0.01132	0.00024
298	2200	0.01136	0.00023
298	2400	0.01140	0.00022
