Table: Density [G]
Temperature {K} 	Pressure {kPa} 	Density {kg/m^3} 	Uncertainty {kg/m^3} 
279	200	3.8461	0.0019
279	400	7.8000	0.0078
279	600	11.870	0.018
279	800	16.066	0.032
279	1000	20.399	0.050
279	1200	24.880	0.073
279	1400	29.52	0.10
279	1600	34.35	0.13
279	1800	39.38	0.17
279	2000	44.62	0.22
279	2200	50.13	0.27
279	2400	55.92	0.33
279	2600	62.04	0.41
279	2800	68.56	0.50
279	3000	75.54	0.60
279	3200	83.09	0.74
279	3400	91.35	0.92
279	3600	100.5	1.2
279    3622.032    100.942    0
280	200	3.8317	0.0019
280	400	7.7697	0.0077
280	600	11.822	0.017
280	800	15.998	0.031
280	1000	20.307	0.049
280	1200	24.763	0.072
280	1400	29.378	0.099
280	1600	34.17	0.13
280	1800	39.16	0.17
280	2000	44.36	0.21
280	2200	49.81	0.26
280	2400	55.53	0.32
280	2600	61.58	0.39
280	2800	68.00	0.48
280	3000	74.86	0.58
280	3200	82.26	0.71
280	3400	90.33	0.88
280	3600	99.2	1.1
280    3712.179    104.017    0
281	200	3.8175	0.0019
281	400	7.7396	0.0076
281	600	11.774	0.017
281	800	15.930	0.031
281	1000	20.217	0.049
281	1200	24.647	0.071
281	1400	29.233	0.098
281	1600	33.99	0.13
281	1800	38.94	0.17
281	2000	44.10	0.21
281	2200	49.49	0.26
281	2400	55.16	0.32
281	2600	61.13	0.38
281	2800	67.46	0.46
281	3000	74.21	0.56
281	3200	81.47	0.68
281	3400	89.35	0.84
281	3600	98.0	1.0
281    3803.976    107.202    0
282	200	3.8034	0.0019
282	400	7.7098	0.0075
282	600	11.727	0.017
282	800	15.863	0.031
282	1000	20.128	0.048
282	1200	24.533	0.070
282	1400	29.090	0.096
282	1600	33.82	0.13
282	1800	38.73	0.16
282	2000	43.84	0.20
282	2200	49.19	0.25
282	2400	54.79	0.31
282	2600	60.69	0.37
282	2800	66.94	0.45
282	3000	73.58	0.54
282	3200	80.70	0.66
282	3400	88.41	0.80
282	3600	96.84	0.98
282	3800	106.2	1.2
282    3897.444    110.502    0
283	200	3.7894	0.0019
283	400	7.6802	0.0075
283	600	11.680	0.017
283	800	15.796	0.030
283	1000	20.039	0.047
283	1200	24.419	0.069
283	1400	28.949	0.095
283	1600	33.64	0.13
283	1800	38.52	0.16
283	2000	43.59	0.20
283	2200	48.89	0.25
283	2400	54.43	0.30
283	2600	60.27	0.36
283	2800	66.43	0.44
283	3000	72.97	0.53
283	3200	79.96	0.63
283	3400	87.51	0.76
283	3600	95.73	0.93
283	3800	104.8	1.2
283    3992.607    113.926    0
284	200	3.7755	0.0018
284	400	7.6509	0.0074
284	600	11.633	0.017
284	800	15.731	0.030
284	1000	19.952	0.047
284	1200	24.308	0.068
284	1400	28.810	0.093
284	1600	33.47	0.12
284	1800	38.31	0.16
284	2000	43.34	0.20
284	2200	48.59	0.24
284	2400	54.08	0.30
284	2600	59.85	0.36
284	2800	65.93	0.43
284	3000	72.37	0.51
284	3200	79.25	0.61
284	3400	86.64	0.73
284	3600	94.67	0.89
284	3800	103.5	1.1
284	4000	113.4	1.4
284    4089.488    117.482    0
285	200	3.7618	0.0018
285	400	7.6218	0.0073
285	600	11.587	0.017
285	800	15.665	0.029
285	1000	19.865	0.046
285	1200	24.197	0.067
285	1400	28.672	0.092
285	1600	33.30	0.12
285	1800	38.11	0.16
285	2000	43.10	0.19
285	2200	48.30	0.24
285	2400	53.73	0.29
285	2600	59.44	0.35
285	2800	65.44	0.42
285	3000	71.79	0.49
285	3200	78.56	0.59
285	3400	85.81	0.70
285	3600	93.65	0.85
285	3800	102.2	1.0
285	4000	111.8	1.3
285    4188.111    121.177    0
286	200	3.7481	0.0018
286	400	7.5930	0.0072
286	600	11.541	0.016
286	800	15.601	0.029
286	1000	19.780	0.046
286	1200	24.088	0.066
286	1400	28.536	0.091
286	1600	33.14	0.12
286	1800	37.90	0.15
286	2000	42.86	0.19
286	2200	48.01	0.23
286	2400	53.40	0.28
286	2600	59.04	0.34
286	2800	64.97	0.40
286	3000	71.23	0.48
286	3200	77.88	0.57
286	3400	85.00	0.68
286	3600	92.67	0.81
286	3800	101.03	0.99
286	4000	110.3	1.2
286	4200	120.7	1.6
286    4288.5    125.023    0
287	200	3.7345	0.0018
287	400	7.5643	0.0071
287	600	11.496	0.016
287	800	15.537	0.029
287	1000	19.695	0.045
287	1200	23.980	0.065
287	1400	28.402	0.090
287	1600	32.97	0.12
287	1800	37.71	0.15
287	2000	42.62	0.19
287	2200	47.73	0.23
287	2400	53.06	0.28
287	2600	58.64	0.33
287	2800	64.50	0.39
287	3000	70.68	0.47
287	3200	77.23	0.55
287	3400	84.22	0.66
287	3600	91.73	0.78
287	3800	99.88	0.94
287	4000	108.8	1.2
287	4200	118.9	1.4
287    4390.681    129.03    0
288	200	3.7210	0.0018
288	400	7.5360	0.0071
288	600	11.451	0.016
288	800	15.473	0.028
288	1000	19.611	0.045
288	1200	23.873	0.065
288	1400	28.269	0.088
288	1600	32.81	0.12
288	1800	37.51	0.15
288	2000	42.39	0.18
288	2200	47.46	0.23
288	2400	52.74	0.27
288	2600	58.26	0.33
288	2800	64.05	0.39
288	3000	70.15	0.46
288	3200	76.60	0.54
288	3400	83.47	0.63
288	3600	90.83	0.75
288	3800	98.79	0.90
288	4000	107.5	1.1
288	4200	117.2	1.4
288	4400	128.2	1.7
288    4494.68    133.21    0
289	200	3.7077	0.0017
289	400	7.5078	0.0070
289	600	11.407	0.016
289	800	15.411	0.028
289	1000	19.528	0.044
289	1200	23.767	0.064
289	1400	28.138	0.087
289	1600	32.65	0.11
289	1800	37.32	0.15
289	2000	42.16	0.18
289	2200	47.18	0.22
289	2400	52.42	0.27
289	2600	57.88	0.32
289	2800	63.61	0.38
289	3000	69.63	0.44
289	3200	75.99	0.52
289	3400	82.74	0.61
289	3600	89.96	0.72
289	3800	97.73	0.86
289	4000	106.2	1.0
289	4200	115.6	1.3
289	4400	126.1	1.6
289    4600.525    137.577    0
290	200	3.6944	0.0017
290	400	7.4799	0.0069
290	600	11.362	0.016
290	800	15.349	0.028
290	1000	19.446	0.044
290	1200	23.663	0.063
290	1400	28.008	0.086
290	1600	32.49	0.11
290	1800	37.13	0.14
290	2000	41.93	0.18
290	2200	46.92	0.22
290	2400	52.10	0.26
290	2600	57.51	0.31
290	2800	63.17	0.37
290	3000	69.12	0.43
290	3200	75.39	0.51
290	3400	82.03	0.60
290	3600	89.12	0.70
290	3800	96.73	0.83
290	4000	104.98	0.99
290	4200	114.0	1.2
290	4400	124.2	1.5
290	4600	135.7	1.9
290    4708.243    142.147    0
291	200	3.6812	0.0017
291	400	7.4522	0.0069
291	600	11.319	0.015
291	800	15.287	0.028
291	1000	19.364	0.043
291	1200	23.559	0.062
291	1400	27.880	0.085
291	1600	32.34	0.11
291	1800	36.94	0.14
291	2000	41.71	0.18
291	2200	46.65	0.21
291	2400	51.79	0.26
291	2600	57.15	0.31
291	2800	62.75	0.36
291	3000	68.62	0.42
291	3200	74.80	0.49
291	3400	81.35	0.58
291	3600	88.30	0.68
291	3800	95.76	0.80
291	4000	103.81	0.95
291	4200	112.6	1.1
291	4400	122.4	1.4
291	4600	133.4	1.8
291	4800	146.3	2.4
291    4817.862    146.938    0
292	200	3.6681	0.0017
292	400	7.4247	0.0068
292	600	11.275	0.015
292	800	15.226	0.027
292	1000	19.284	0.043
292	1200	23.457	0.061
292	1400	27.753	0.084
292	1600	32.18	0.11
292	1800	36.76	0.14
292	2000	41.49	0.17
292	2200	46.40	0.21
292	2400	51.49	0.25
292	2600	56.80	0.30
292	2800	62.34	0.35
292	3000	68.14	0.41
292	3200	74.24	0.48
292	3400	80.68	0.56
292	3600	87.52	0.66
292	3800	94.82	0.77
292	4000	102.69	0.91
292	4200	111.2	1.1
292	4400	120.7	1.3
292	4600	131.2	1.7
292	4800	143.4	2.2
292    4929.414    151.97    0
293	200	3.6552	0.0017
293	400	7.3974	0.0067
293	600	11.232	0.015
293	800	15.165	0.027
293	1000	19.204	0.042
293	1200	23.355	0.061
293	1400	27.628	0.083
293	1600	32.03	0.11
293	1800	36.58	0.14
293	2000	41.28	0.17
293	2200	46.14	0.21
293	2400	51.19	0.25
293	2600	56.45	0.30
293	2800	61.93	0.35
293	3000	67.66	0.40
293	3200	73.68	0.47
293	3400	80.03	0.55
293	3600	86.75	0.64
293	3800	93.92	0.74
293	4000	101.61	0.87
293	4200	109.9	1.0
293	4400	119.1	1.3
293	4600	129.2	1.6
293	4800	140.8	2.0
293	5000	154.5	2.7
293    5042.93    157.268    0
294	200	3.6423	0.0017
294	400	7.3703	0.0066
294	600	11.190	0.015
294	800	15.106	0.027
294	1000	19.125	0.042
294	1200	23.255	0.060
294	1400	27.504	0.082
294	1600	31.88	0.11
294	1800	36.40	0.14
294	2000	41.06	0.17
294	2200	45.89	0.20
294	2400	50.90	0.24
294	2600	56.11	0.29
294	2800	61.53	0.34
294	3000	67.20	0.40
294	3200	73.14	0.46
294	3400	79.40	0.53
294	3600	86.02	0.62
294	3800	93.05	0.72
294	4000	100.58	0.84
294	4200	108.70	1.00
294	4400	117.6	1.2
294	4600	127.3	1.5
294	4800	138.4	1.8
294	5000	151.2	2.4
294    5158.442    162.859    0
295	200	3.6295	0.0016
295	400	7.3435	0.0066
295	600	11.147	0.015
295	800	15.046	0.026
295	1000	19.047	0.041
295	1200	23.156	0.059
295	1400	27.382	0.081
295	1600	31.73	0.11
295	1800	36.22	0.13
295	2000	40.85	0.17
295	2200	45.64	0.20
295	2400	50.61	0.24
295	2600	55.77	0.28
295	2800	61.14	0.33
295	3000	66.75	0.39
295	3200	72.62	0.45
295	3400	78.79	0.52
295	3600	85.30	0.60
295	3800	92.21	0.70
295	4000	99.58	0.81
295	4200	107.51	0.96
295	4400	116.1	1.1
295	4600	125.6	1.4
295	4800	136.1	1.7
295	5000	148.3	2.2
295	5200	162.7	3.0
295    5275.985    168.775    0
296	200	3.6168	0.0016
296	400	7.3168	0.0065
296	600	11.105	0.015
296	800	14.987	0.026
296	1000	18.969	0.041
296	1200	23.058	0.059
296	1400	27.261	0.080
296	1600	31.59	0.10
296	1800	36.04	0.13
296	2000	40.65	0.16
296	2200	45.40	0.20
296	2400	50.33	0.24
296	2600	55.44	0.28
296	2800	60.76	0.33
296	3000	66.30	0.38
296	3200	72.10	0.44
296	3400	78.19	0.51
296	3600	84.60	0.58
296	3800	91.39	0.68
296	4000	98.62	0.78
296	4200	106.37	0.92
296	4400	114.7	1.1
296	4600	123.9	1.3
296	4800	134.1	1.6
296	5000	145.6	2.0
296	5200	159.0	2.7
296    5395.595    175.056    0
297	200	3.6042	0.0016
297	400	7.2904	0.0065
297	600	11.064	0.015
297	800	14.929	0.026
297	1000	18.893	0.040
297	1200	22.961	0.058
297	1400	27.141	0.079
297	1600	31.44	0.10
297	1800	35.87	0.13
297	2000	40.44	0.16
297	2200	45.16	0.20
297	2400	50.05	0.23
297	2600	55.12	0.28
297	2800	60.38	0.32
297	3000	65.87	0.37
297	3200	71.60	0.43
297	3400	77.61	0.50
297	3600	83.93	0.57
297	3800	90.60	0.66
297	4000	97.69	0.76
297	4200	105.27	0.88
297	4400	113.4	1.0
297	4600	122.3	1.2
297	4800	132.1	1.5
297	5000	143.1	1.9
297	5200	155.7	2.4
297	5400	170.9	3.3
297    5517.311    181.748    0
298	200	3.5917	0.0016
298	400	7.2642	0.0064
298	600	11.022	0.014
298	800	14.871	0.026
298	1000	18.817	0.040
298	1200	22.865	0.057
298	1400	27.023	0.078
298	1600	31.30	0.10
298	1800	35.70	0.13
298	2000	40.24	0.16
298	2200	44.93	0.19
298	2400	49.77	0.23
298	2600	54.80	0.27
298	2800	60.01	0.32
298	3000	65.44	0.37
298	3200	71.11	0.42
298	3400	77.04	0.48
298	3600	83.27	0.56
298	3800	89.84	0.64
298	4000	96.80	0.74
298	4200	104.22	0.85
298	4400	112.19	1.00
298	4600	120.8	1.2
298	4800	130.3	1.4
298	5000	140.8	1.8
298	5200	152.8	2.2
298	5400	166.8	3.0
298	5600	184.3	4.2
298    5641.174    188.906    0
299	200	3.5792	0.0016
299	400	7.2381	0.0063
299	600	10.981	0.014
299	800	14.814	0.025
299	1000	18.741	0.039
299	1200	22.770	0.057
299	1400	26.906	0.077
299	1600	31.16	0.10
299	1800	35.53	0.13
299	2000	40.04	0.16
299	2200	44.69	0.19
299	2400	49.50	0.23
299	2600	54.48	0.27
299	2800	59.65	0.31
